Animal;TLOfADRR0
Acinonyx_jubatus;3403
Acomys_cahirinus;3801
Addax_nasomaculatus;3167
Aepyceros_melampus;3224
Ailuropoda_melanoleuca;5367
Ailurus_fulgens;4223
Akodon_montensis;3318
Alcelaphus_buselaphus;3014
Alces_alces;3990
Allenopithecus_nigroviridis;3164
Alouatta_caraya;3609
Alouatta_seniculus;3533
Ammotragus_lervia;3399
Anoura_caudifer;3580
Anourosorex_squamipes;6446
Antidorcas_marsupialis;3529
Antilocapra_americana;3437
Antilope_cervicapra;3146
Aotus_lemurinus;3361
Aotus_nancymaae;3247
Apodemus_agrarius;4053
Apodemus_chevrieri;3763
Apodemus_draco;4056
Apodemus_latronum;4536
Apodemus_peninsulae;4299
Arctocephalus_forsteri;2854
Arctocephalus_pusillus;3584
Arctocephalus_townsendi;3124
Arctonyx_collaris;3374
Artibeus_jamaicensis;3953
Artibeus_lituratus;4254
Ateles_belzebuth;3249
Avahi_laniger;2698
Axis_axis;3322
Axis_porcinus;3476
Balaena_mysticetus;3604
Balaenoptera_acutorostrata;3330
Balaenoptera_bonaerensis;3135
Balaenoptera_borealis;3614
Balaenoptera_edeni;3460
Balaenoptera_musculus;3433
Balaenoptera_omurai;3619
Balaenoptera_physalus;3181
Bandicota_indica;3579
Beatragus_hunteri;3024
Berardius_bairdii;3548
Bison_bison;3214
Bison_bonasus;3004
Blarinella_quadraticauda;5229
Blastocerus_dichotomus;3989
Boselaphus_tragocamelus;3099
Bos_gaurus;3016
Bos_javanicus;2930
Bos_mutus;3241
Brachyphylla_cavernarum;3340
Bradypus_pygmaeus;4380
Bradypus_torquatus;4568
Bubalus_depressicornis;2836
Budorcas_taxicolor;3196
Cabassous_centralis;4491
Cabassous_chacoensis;3361
Cabassous_tatouay;3465
Cabassous_unicinctus;3437
Cacajao_calvus;3443
Caenolestes_fuliginosus;4263
Callimico_goeldii;3290
Callithrix_geoffroyi;3683
Callithrix_jacchus;3357
Callithrix_kuhlii;3314
Callithrix_penicillata;3251
Callorhinus_ursinus;5434
Callosciurus_adamsi;2734
Callosciurus_erythraeus;3160
Calyptophractus_retusus;3558
Camelus_ferus;4831
Canis_latrans;4323
Canis_lupus;4924
Caperea_marginata;3161
Capra_aegagrus;3196
Capra_caucasica;3392
Capra_falconeri;2972
Capra_ibex;3235
Capra_nubiana;3238
Capra_pyrenaica;3175
Capra_sibirica;3113
Capreolus_capreolus;3632
Capreolus_pygargus;3381
Capricornis_crispus;3088
Capricornis_milneedwardsii;3171
Capricornis_sumatraensis;3183
Capricornis_swinhoei;3035
Caracal_caracal;3445
Carollia_perspicillata;4226
Cebus_albifrons;3952
Cephalophus_adersi;3201
Cephalophus_callipygus;3205
Cephalophus_dorsalis;3394
Cephalophus_jentinki;3089
Cephalophus_leucogaster;2722
Cephalophus_natalensis;2958
Cephalophus_nigrifrons;3095
Cephalophus_ogilbyi;2910
Cephalophus_rufilatus;3019
Cephalophus_silvicultor;3235
Cephalophus_spadix;2963
Cephalorhynchus_heavisidii;3387
Ceratotherium_simum;3450
Cercocebus_atys;3745
Cercocebus_chrysogaster;3588
Cercocebus_torquatus;3641
Cercopithecus_diana;3346
Cercopithecus_lhoesti;3444
Cercopithecus_mitis;3121
Cervus_elaphus;3055
Chaetophractus_vellerosus;3681
Chaetophractus_villosus;4619
Chalinolobus_tuberculatus;3422
Cheirogaleus_medius;3287
Chinchilla_lanigera;3773
Chiropotes_albinasus;2997
Chlamyphorus_truncatus;2517
Chlorocebus_aethiops;3277
Chlorocebus_cynosuros;3494
Chlorocebus_pygerythrus;3381
Chlorocebus_sabaeus;3655
Chlorocebus_tantalus;3710
Choloepus_didactylus;4272
Choloepus_hoffmanni;3930
Chrysochloris_asiatica;4725
Chrysocyon_brachyurus;5676
Colobus_guereza;3181
Condylura_cristata;4404
Connochaetes_gnou;2963
Connochaetes_taurinus;2793
Cricetulus_kamensis;3293
Cricetulus_longicaudatus;3115
Crocidura_attenuata;6169
Crocidura_beatus;3404
Crocidura_grayi;3330
Crocidura_lasiura;7684
Crocidura_mindorus;2995
Crocidura_negrina;3087
Crocidura_orientalis;3057
Crocidura_palawanensis;3198
Crocidura_russula;4874
Crocidura_shantungensis;5992
Crocuta_crocuta;3767
Ctenomys_leucodon;4006
Ctenomys_sociabilis;8058
Cuon_alpinus;5490
Cyclopes_didactylus;3953
Cynomys_leucurus;3183
Cynomys_ludovicianus;3134
Cynopterus_brachyotis;2902
Cystophora_cristata;11660
Dactylomys_dactylinus;4575
Dactylopsila_trivirgata;3084
Damaliscus_lunatus;2592
Damaliscus_pygargus;2523
Dama_dama;3143
Dama_mesopotamica;3189
Dasypus_hybridus;4939
Dasypus_kappleri;4472
Dasypus_novemcinctus;5030
Dasypus_pilosus;4709
Dasypus_sabanicola;4333
Dasypus_septemcinctus;4094
Dasypus_yepesi;4510
Dasyurus_hallucatus;5282
Daubentonia_madagascariensis;3741
Delphinus_capensis;3542
Dendrohyrax_dorsalis;4564
Desmodus_rotundus;4237
Dicerorhinus_sumatrensis;3606
Diceros_bicornis;3630
Didelphis_virginiana;7351
Dipus_sagitta;3754
Distoechurus_pennatus;3642
Dorcatragus_megalotis;3395
Dremomys_rufigenis;3183
Dromiciops_gliroides;2691
Dugong_dugon;6684
Echinops_telfairi;5113
Echinosorex_gymnura;6700
Elaphodus_cephalophus;3185
Elaphurus_davidianus;3250
Elephas_maximus;5911
Enhydra_lutris;3256
Eospalax_rothschildi;4093
Eothenomys_chinensis;3361
Eothenomys_melanogaster;3563
Eothenomys_miletus;3379
Eozapus_setchuanus;4546
Episoriculus_caudatus;6453
Episoriculus_fumidus;7800
Episoriculus_macrurus;4108
Epomophorus_gambianus;3360
Eptesicus_serotinus;4308
Equus_grevyi;3290
Equus_hemionus;4137
Equus_kiang;3204
Equus_zebra;2889
Eremitalpa_granti;5196
Erignathus_barbatus;4166
Erinaceus_europaeus;8367
Erythrocebus_patas;3441
Eschrichtius_robustus;3638
Eubalaena_australis;3337
Eubalaena_japonica;3347
Euchoreutes_naso;5363
Eudorcas_rufifrons;3114
Eulemur_mongoz;3525
Eulemur_rubriventer;10098
Eulemur_rufus;3101
Eumetopias_jubatus;5436
Euphractus_sexcinctus;3869
Exilisciurus_exilis;2753
Felis_chaus;3158
Felis_margarita;4155
Felis_nigripes;3580
Felis_silvestris;3098
Feresa_attenuata;3483
Galago_moholi;3266
Galago_senegalensis;3896
Galemys_pyrenaicus;3460
Galeopterus_variegatus;3714
Gazella_bennettii;2925
Gazella_cuvieri;2869
Gazella_dorcas;3025
Gazella_gazella;3260
Gazella_leptoceros;3081
Gazella_spekei;3414
Gazella_subgutturosa;3220
Genetta_servalina;4636
Giraffa_camelopardalis;3181
Glis_glis;3298
Globicephala_macrorhynchus;3251
Globicephala_melas;3374
Gorilla_gorilla;3308
Grampus_griseus;3227
Gulo_gulo;4355
Halichoerus_grypus;7069
Hapalemur_griseus;3512
Helarctos_malayanus;4230
Hemiechinus_auritus;8143
Hemitragus_jemlahicus;3571
Herpestes_javanicus;3780
Heterocephalus_glaber;3894
Hippocamelus_antisensis;3682
Hippopotamus_amphibius;3185
Hipposideros_armiger;3877
Hippotragus_equinus;3009
Hippotragus_niger;3276
Hyaena_hyaena;3607
Hydropotes_inermis;3504
Hydrurga_leptonyx;4535
Hyemoschus_aquaticus;2711
Hylobates_agilis;3207
Hylobates_lar;3238
Hylobates_pileatus;3232
Hylomys_suillus;4055
Hylopetes_phayrei;3602
Hyperoodon_ampullatus;3336
Indri_indri;4605
Inia_geoffrensis;3633
Isoodon_macrourus;4989
Jaculus_jaculus;3241
Kobus_ellipsiprymnus;3307
Kobus_leche;2726
Kogia_breviceps;2874
Lagenorhynchus_albirostris;3537
Lagorchestes_hirsutus;3662
Lagostrophus_fasciatus;3206
Lagothrix_lagotricha;3219
Lama_guanicoe;3727
Laonastes_aenigmamus;2850
Lariscus_insignis;3433
Lasiopodomys_mandarinus;3057
Lasiurus_borealis;5009
Leggadina_lakedownensis;3707
Lemur_catta;3547
Leontopithecus_rosalia;3718
Leopardus_colocolo;3207
Leopardus_geoffroyi;3110
Leopardus_guigna;3106
Leopardus_jacobita;3229
